0,-1.99,1.99
1.03,-3.21,1.3
6.88,-4.41,0.63
22.3,-5.58,-0.03
38.5,-6.73,-0.68
-3.35,-7.87,-1.31
8274.53,-57.23,-23.97
2728.75,-8.56,-28.95
-3393.14,-10,78.4
-1050.35,41.98,-19.64
4789.11,42.1,-19.49
-2955.31,-0.8,71.03
-3535.32,-28.9,60.43
-2090.4,-43.53,45.93
4471.56,33.33,56.62
2892.11,57.62,28.17
-39.03,-28.14,56.4
-2046.14,82.56,-2.17
-2979.61,-22.01,57.59
-3268.57,54.73,30.64
-3302.25,69.28,-0.85
954.53,-13.34,76.35
422.5,-18.98,-13.19
-490.84,10.15,-53.4
137.53,22.74,0.72
3505.03,0,90
-5608.22,26.62,-62.94
217.07,1.41,70.58
6955.6,3.45,84.81
-3306.96,-16.18,-55.27
744.91,50.41,12.18
6381,-41.45,-48.3
-4324.1,32.18,-25.35
-340.22,10.67,-72.8
5344.33,-0.22,73.78
-5294.64,55.03,33.6
-1585.04,-58.02,-31.77
-6658.31,50.73,-39.23
-5097.92,71.96,-5.98
4383.64,49.72,39.1
4900.38,51.41,3
2819.16,38.69,51.15
-97.73,25.32,63.24
-751.26,34.32,-38.83
-558.88,-74.4,-2.17
7100.26,0,90
5249.1,-14.09,23.15
3995.63,-12.96,19.07
-7927.72,1.48,-57.92
-7564.73,-0.63,52.15
-4354.19,-0.34,88.94
-1472.38,2.3,-13.18
-33.78,2.19,-75.94
566.49,1.33,-43.46
394.18,-0.76,45.82
291.64,-0.64,76.07
72.71,2.23,13.75
2704,2.95,-81.83
1404.26,-41.56,-46.99
361.13,32.46,49.57
11.94,-2.28,76.41
-16.03,60.02,22.09
24.22,-24.86,31.55
-3687.33,0.01,0.01
-1890.07,0.01,0.01
3360.58,-39.81,-18.49
2047.22,-40.05,-18.6
603.85,-40.29,-18.72
44.98,-40.51,-18.83
-36.09,-40.74,-18.93
-4617,0,90
-3262.45,6.82,81.6
4472.62,-81.47,8.48
4627.35,-1.1,24.75
1579.44,-3.71,54.64
12.64,-5.33,82.71
-368.23,-5.54,67.56
-82.75,-3.77,-50.62
-9.09,-5.6,-46.2
-1261.12,-7.68,-38.88
-2187.93,-33.01,51.68
2115.14,12.55,-63.21
-34.37,12.58,-62.89
-287.77,12.57,23.01
-118.46,84.88,0.71
10.49,52.18,-33.64
50.65,36.64,-45.54
93.57,-54.32,-23.71
-3635.17,0.88,-67.05
-4016.66,0.93,-67.77
10528.28,0.98,-66.37
-182.13,-37.02,-50.03
-1534.08,2.92,-26.54
-741.15,-39.09,-50.54
6065.19,37.6,48.89
-4256.49,1.56,-2.12
-3142.91,1.55,-2.08
-840.54,1.4,-1.91
426.33,1.33,-1.82
1209.13,1.27,-1.73
594.34,-36.83,-50.37
-2886.24,0,51.69
4218.64,0,51.68
-930.13,0,51.72
6032.43,0,51.7
-6768.4,41.07,-46.09
-1025.82,6.42,6.46
2043.3,-40.8,-6.02
229.67,42.19,-19.27
2426.67,42.19,-19.28
1960.59,42.2,-19.26
-4539.13,42.17,-19.29
3410.14,42.19,-19.31
3568.77,42.17,-19.27
-3726.88,-39.68,38.17
-1928.57,-38.02,51.92
1515.37,-79.17,-2.3
503.9,40.6,-49.08
-131.59,-0.97,-80.75
-248.49,19.44,-69.84
-222.81,-3.66,82.51
-206.69,-42.38,47.48
4213.57,72.69,-16.92
-4027.44,-34.95,29.6
-1288.94,20.87,68.52
3054.96,42.18,-19.29
-6907.16,42.17,-19.29
7283.59,42.19,-19.31
2196.1,42.18,-19.3
-3833.81,42.18,-19.3
2165.22,42.2,-19.29
